CustomerID,Age,Gender,Marital_Status,Education,Employment_Type,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Income_Loan_Ratio,Loan_Status
1021,58,Male,Married,Not Graduate,Salaried,5457,946,272.0,360,1.0,Urban,0.2354044117647059,Y
1022,22,Male,Married,Not Graduate,Self-Employed,4907,1186,58.0,240,1.0,Semiurban,1.0505172413793102,N
1023,41,Female,Single,Graduate,Salaried,2139,1834,102.0,180,1.0,Rural,0.38950980392156864,Y
1024,53,Male,Single,Not Graduate,Salaried,1672,1564,126.0,180,1.0,Urban,0.25682539682539685,Y
1025,32,Male,Married,Not Graduate,Salaried,7166,7332,255.0,120,1.0,Urban,0.5685490196078431,Y
1026,42,Female,Married,Not Graduate,Salaried,5854,4944,365.0,360,0.0,Rural,0.29583561643835615,N
1027,64,Female,Single,Graduate,Salaried,5459,7865,351.0,180,1.0,Semiurban,0.3796011396011396,N
1028,45,Female,Single,Not Graduate,Salaried,10208,5685,359.0,360,0.0,Urban,0.44270194986072425,N
1029,47,Male,Single,Not Graduate,Salaried,10214,5414,379.0,120,1.0,Rural,0.41234828496042214,N
1030,62,Male,Single,Not Graduate,Self-Employed,11609,6185,161.0,360,1.0,Semiurban,1.105217391304348,N
1031,48,Female,,Graduate,Self-Employed,4386,1947,400.0,120,1.0,Urban,0.158325,Y
1032,36,Female,Single,Graduate,Self-Employed,3664,1308,214.0,120,0.0,Urban,0.23233644859813085,N
1033,35,Female,Single,Not Graduate,Salaried,11621,2986,328.0,300,0.0,Rural,0.4453353658536585,N
1034,64,Female,Married,Graduate,Salaried,5445,386,76.0,360,1.0,Rural,0.7672368421052631,N
1035,23,Female,Single,Graduate,Salaried,6735,6131,119.0,240,1.0,Semiurban,1.0811764705882352,Y
1036,57,Female,Single,Graduate,Salaried,11901,1161,267.0,300,1.0,Rural,0.48921348314606744,N
1037,27,Male,Single,Not Graduate,Self-Employed,9246,3258,499.0,120,1.0,Rural,0.2505811623246493,N
1038,41,Male,Married,Not Graduate,Salaried,13475,6121,414.0,240,1.0,Semiurban,0.47333333333333333,N
1039,29,Male,Single,Graduate,Self-Employed,4090,7053,238.0,180,1.0,Rural,0.46819327731092436,Y
1040,59,Female,Married,Graduate,Salaried,9254,4811,382.0,180,1.0,Semiurban,0.3681937172774869,N
1041,38,Female,Married,Graduate,Self-Employed,6434,6574,484.0,300,1.0,Semiurban,0.2687603305785124,N
1042,24,Female,Single,Not Graduate,Salaried,5576,6697,355.0,240,1.0,Semiurban,0.3457183098591549,N
1043,45,Female,Single,Not Graduate,Self-Employed,6685,3933,,360,1.0,Rural,0.6137572254335261,Y
1044,34,Female,Single,Graduate,Salaried,2593,7583,68.0,240,0.0,Semiurban,1.4964705882352942,N
1045,29,Female,,Graduate,Self-Employed,5380,2847,306.0,300,1.0,Rural,0.2688562091503268,Y
1046,46,Male,,Graduate,Salaried,12186,4521,345.0,360,0.0,Semiurban,0.4842608695652174,N
1047,22,Male,Single,Graduate,Self-Employed,8059,1439,465.0,360,1.0,Rural,0.20425806451612905,N
1048,40,Female,Single,Not Graduate,Self-Employed,12271,6169,71.0,180,1.0,Semiurban,2.5971830985915494,Y
1049,48,Male,Single,Graduate,Salaried,12180,3442,417.0,240,,Urban,0.3746282973621103,N
1050,27,Female,Married,Not Graduate,Self-Employed,4285,4480,499.0,360,1.0,Urban,0.17565130260521042,N
1051,64,Male,Single,Graduate,Salaried,7565,55,89.0,300,0.0,Urban,0.8561797752808988,N
1052,28,Female,Single,Graduate,Salaried,8039,3324,87.0,180,1.0,Semiurban,1.3060919540229885,N
1053,55,Female,Married,Graduate,Salaried,12450,6777,97.0,360,1.0,Rural,1.9821649484536084,Y
1054,34,Male,Married,Graduate,Self-Employed,3074,105,232.0,240,0.0,Semiurban,0.13702586206896553,Y
1055,37,Male,Single,Graduate,Self-Employed,7176,3201,124.0,180,1.0,Semiurban,0.8368548387096775,Y
1056,56,Female,Single,Not Graduate,Salaried,12065,6992,258.0,240,1.0,Semiurban,0.7386434108527132,Y
1057,60,Female,Single,Graduate,Salaried,9560,669,232.0,240,1.0,Semiurban,0.4409051724137931,Y
1058,24,Male,Single,Graduate,Self-Employed,5490,4471,484.0,240,1.0,Rural,0.20580578512396694,Y
1059,22,Male,Single,Graduate,Self-Employed,6710,742,156.0,180,1.0,Semiurban,0.4776923076923077,Y
1060,26,Female,Married,Not Graduate,Self-Employed,6345,966,,360,1.0,Urban,0.30848101265822786,Y
1061,62,Male,,Not Graduate,Salaried,10785,307,313.0,120,1.0,Urban,0.3543769968051118,N
1062,24,Female,Single,Not Graduate,Salaried,2689,2138,135.0,360,1.0,Urban,0.35755555555555557,Y
1063,49,Female,Single,Not Graduate,Salaried,4189,3464,373.0,180,1.0,Semiurban,0.20517426273458444,N
1064,38,Female,Married,Graduate,Salaried,5595,7701,380.0,120,1.0,Rural,0.34989473684210526,N
1065,46,Female,Single,Graduate,Salaried,3375,4897,186.0,120,0.0,Rural,0.4447311827956989,N
1066,64,,Single,Graduate,Self-Employed,9268,109,395.0,120,0.0,Rural,0.23739240506329115,N
1067,54,Male,Single,Not Graduate,Salaried,4906,3632,435.0,300,1.0,Semiurban,0.19627586206896552,Y
1068,30,Male,Single,Graduate,Self-Employed,11479,5760,385.0,180,1.0,Rural,0.44776623376623376,N
1069,56,Male,Single,Graduate,Self-Employed,5432,6728,144.0,300,1.0,Urban,0.8444444444444444,Y
1070,34,Male,Married,Not Graduate,Salaried,11299,4435,375.0,120,1.0,Rural,0.41957333333333335,N
1071,51,Male,Single,Not Graduate,Self-Employed,13440,5684,294.0,300,1.0,Semiurban,0.6504761904761904,N
1072,35,Male,Single,Not Graduate,Salaried,9740,5074,139.0,300,0.0,Semiurban,1.0657553956834533,N
1073,28,Female,Single,Graduate,Self-Employed,14863,6499,108.0,180,1.0,Rural,1.977962962962963,Y
1074,34,Male,Married,Graduate,Salaried,6908,1915,452.0,240,1.0,Semiurban,0.19519911504424778,N
1075,43,Male,Married,Not Graduate,Salaried,5361,4263,77.0,300,1.0,Rural,1.2498701298701298,N
1076,60,Female,Married,Graduate,Self-Employed,8906,556,121.0,300,1.0,Rural,0.7819834710743802,Y
1077,41,Male,Married,Not Graduate,Salaried,11872,7619,319.0,120,1.0,Urban,0.6110031347962382,N
1078,36,Male,Single,Not Graduate,Self-Employed,12738,5000,73.0,120,1.0,Semiurban,2.4298630136986303,Y
1079,38,Female,Married,Graduate,Salaried,4333,104,161.0,120,0.0,Urban,0.27559006211180126,N
1080,44,Male,Single,Not Graduate,Salaried,6785,2047,349.0,360,1.0,Semiurban,0.2530659025787966,N
1081,46,Male,Single,Not Graduate,Salaried,11089,6293,105.0,300,1.0,Rural,1.6554285714285715,Y
1082,45,Male,Married,Not Graduate,Self-Employed,9145,145,272.0,120,1.0,Semiurban,0.34154411764705883,N
1083,61,Female,Married,Graduate,Self-Employed,13518,2763,169.0,180,1.0,Rural,0.9633727810650887,Y
1084,49,Male,Married,Not Graduate,Salaried,14266,873,228.0,360,0.0,Semiurban,0.6639912280701754,N
1085,35,Male,Married,Not Graduate,Self-Employed,10523,298,337.0,240,0.0,Urban,0.3210979228486647,N
1086,21,Female,Married,Not Graduate,Salaried,12389,3238,483.0,300,1.0,Urban,0.32354037267080743,Y
1087,45,Male,Single,Not Graduate,Self-Employed,6277,5832,474.0,300,1.0,Rural,0.25546413502109705,Y
1088,27,Female,Married,Not Graduate,Self-Employed,4235,645,499.0,180,1.0,Urban,0.09779559118236474,N
1089,29,Female,Married,Not Graduate,Salaried,9773,6866,330.0,240,1.0,Rural,0.5042121212121212,Y
1090,44,Male,Married,Not Graduate,Salaried,9778,7215,421.0,240,1.0,Rural,0.4036342042755344,N
1091,21,Female,Single,Graduate,Salaried,7868,4733,238.0,360,1.0,Rural,0.529453781512605,Y
1092,64,Female,Married,Graduate,Salaried,11755,6382,,300,1.0,Semiurban,1.5771304347826087,Y
1093,28,Male,Single,Not Graduate,Salaried,2321,3078,347.0,120,1.0,Rural,0.15559077809798272,Y
1094,44,Female,Married,Graduate,Self-Employed,9025,2511,498.0,180,1.0,Urban,0.23164658634538152,Y
1095,31,Female,Married,Graduate,Self-Employed,1662,6596,469.0,180,0.0,Semiurban,0.17607675906183368,N
1096,37,Male,Single,Not Graduate,Salaried,9277,783,298.0,180,1.0,Urban,0.33758389261744964,N
1097,28,Male,Married,Graduate,Salaried,13431,4992,125.0,180,0.0,Rural,1.47384,N
1098,55,Male,Single,Not Graduate,Salaried,12089,370,186.0,120,1.0,Rural,0.6698387096774193,Y
1099,55,Female,Single,Not Graduate,Self-Employed,3432,7716,213.0,120,1.0,Urban,0.5233802816901408,Y
1100,53,Male,Single,Not Graduate,Salaried,12420,486,282.0,360,0.0,Semiurban,0.4576595744680851,Y
1101,25,Female,Married,Not Graduate,Salaried,5035,7378,304.0,300,1.0,Urban,0.40832236842105263,N
1102,62,Female,Married,Not Graduate,Self-Employed,7456,2037,343.0,120,1.0,Rural,0.2767638483965015,N
1103,59,Female,Married,Graduate,Self-Employed,4946,6308,466.0,360,0.0,Semiurban,0.24150214592274677,N
1104,61,Female,Single,Not Graduate,Self-Employed,14903,3196,,240,0.0,Rural,0.8264383561643835,N
1105,48,Female,Married,Graduate,Self-Employed,4290,1360,366.0,300,1.0,Rural,0.15437158469945356,N
1106,27,Female,Single,Not Graduate,Salaried,4207,4287,223.0,120,1.0,Urban,0.38089686098654707,Y
1107,29,Female,Married,Not Graduate,Self-Employed,9459,4825,394.0,240,1.0,Rural,0.36253807106598984,Y
1108,28,Male,Single,Not Graduate,Self-Employed,5433,2261,494.0,360,1.0,Urban,0.155748987854251,N
1109,32,Male,Single,Graduate,Salaried,4885,2621,67.0,120,1.0,Semiurban,1.1202985074626866,N
1110,54,Female,Single,Not Graduate,Salaried,8136,7495,119.0,120,1.0,Rural,1.3135294117647058,Y
1111,53,Female,Married,Not Graduate,Salaried,2422,956,387.0,240,1.0,Rural,0.08728682170542636,Y
1112,43,Male,Single,Not Graduate,Self-Employed,9589,380,165.0,120,1.0,Semiurban,0.6041818181818182,Y
1113,44,Female,Single,Not Graduate,Salaried,11867,6816,129.0,180,1.0,Urban,1.4482945736434107,N
1114,57,Male,Single,Graduate,Self-Employed,11274,3649,64.0,120,1.0,Rural,2.33171875,Y
1115,55,Male,Single,Not Graduate,Self-Employed,2064,4893,225.0,300,0.0,Semiurban,0.3092,N
1116,64,Male,Single,Graduate,Self-Employed,4758,238,318.0,240,1.0,Rural,0.1571069182389937,Y
1117,60,Female,Single,Not Graduate,Salaried,12289,7699,168.0,300,1.0,Urban,1.1897619047619048,Y
1118,42,Female,Married,Graduate,Self-Employed,4000,6843,348.0,360,1.0,Urban,0.31158045977011495,N
1119,47,Male,Married,Graduate,Salaried,6066,1105,237.0,300,1.0,Urban,0.3025738396624473,Y
1120,55,Male,Single,Not Graduate,Salaried,10679,1386,106.0,180,1.0,Urban,1.1382075471698114,N
1121,21,Male,Married,Not Graduate,Salaried,8381,2552,248.0,180,1.0,Semiurban,0.4408467741935484,N
1122,55,Male,Married,Graduate,Self-Employed,5136,2249,66.0,300,0.0,Rural,1.118939393939394,N
1123,57,Male,Single,Not Graduate,Self-Employed,7530,7063,483.0,360,1.0,Semiurban,0.30213250517598345,Y
1124,34,Female,,Not Graduate,Self-Employed,1723,1527,337.0,120,,Urban,0.09643916913946587,Y
1125,23,Male,Single,Not Graduate,Salaried,7797,1667,455.0,180,0.0,Urban,0.208,N
1126,21,Female,,Graduate,Self-Employed,1850,4132,104.0,300,1.0,Urban,0.5751923076923077,Y
1127,25,Male,Single,Not Graduate,Self-Employed,8814,2691,490.0,300,1.0,Urban,0.23479591836734695,Y
1128,46,,Married,Not Graduate,Self-Employed,3428,7756,318.0,300,0.0,Rural,0.3516981132075472,N
1129,34,Female,Single,Not Graduate,Self-Employed,9243,3672,352.0,120,1.0,Urban,0.36690340909090907,Y
1130,59,Female,Married,Graduate,Self-Employed,10040,1996,136.0,240,,Rural,0.885,N
1131,47,Female,Single,Not Graduate,Salaried,13969,1425,367.0,360,1.0,Urban,0.4194550408719346,Y
1132,29,Female,Single,Graduate,Salaried,6232,2812,487.0,240,1.0,Rural,0.18570841889117043,N
1133,35,Female,Married,Not Graduate,Salaried,2517,6849,78.0,360,1.0,Rural,1.2007692307692308,Y
1134,35,Male,Married,Graduate,Salaried,3726,3247,71.0,360,1.0,Urban,0.982112676056338,Y
1135,46,Female,Married,Not Graduate,Self-Employed,8706,2592,370.0,300,1.0,Semiurban,0.30535135135135133,N
1136,62,Male,Married,Not Graduate,Salaried,14559,7737,334.0,180,1.0,Semiurban,0.6675449101796407,Y
1137,33,Female,Married,Graduate,Self-Employed,8670,1490,97.0,300,0.0,Semiurban,1.0474226804123712,N
1138,52,Female,Married,Graduate,Salaried,14803,1224,54.0,120,1.0,Semiurban,2.967962962962963,Y
1139,59,Male,Single,Graduate,Salaried,7707,2587,299.0,360,0.0,Semiurban,0.3442809364548495,Y
1140,52,Female,Married,Not Graduate,Salaried,13816,7714,212.0,180,1.0,Urban,1.015566037735849,Y
1141,24,Male,Single,Not Graduate,Self-Employed,3919,3064,251.0,360,0.0,Urban,0.27820717131474104,N
1142,50,Male,Single,Not Graduate,Self-Employed,7740,6118,150.0,360,1.0,Urban,0.9238666666666666,N
1143,57,Male,Married,Not Graduate,Salaried,3393,7804,120.0,300,,Urban,0.9330833333333334,N
1144,43,Male,Single,Graduate,Self-Employed,6822,6537,479.0,180,1.0,Urban,0.2788935281837161,N
1145,59,Female,Married,Not Graduate,Salaried,12732,832,212.0,180,1.0,Urban,0.639811320754717,Y
1146,35,Female,Married,Not Graduate,Salaried,11760,7209,222.0,360,1.0,Rural,0.8544594594594594,N
1147,63,Male,Single,Not Graduate,Salaried,9218,4692,190.0,180,1.0,Rural,0.7321052631578947,N
1148,49,Female,Single,Not Graduate,Self-Employed,8378,2440,187.0,180,1.0,Urban,0.5785026737967914,N
1149,56,Female,Married,Not Graduate,Salaried,2625,4795,,300,1.0,Urban,0.6452173913043479,Y
1150,33,Male,Married,Not Graduate,Salaried,4617,1646,247.0,240,0.0,Rural,0.25356275303643727,N
1151,52,Female,Single,Not Graduate,Salaried,5661,7950,377.0,120,,Rural,0.3610344827586207,N
1152,27,Male,Single,Graduate,Self-Employed,5542,6114,277.0,240,1.0,Urban,0.4207942238267148,Y
1153,42,Male,Single,Not Graduate,Salaried,14922,440,330.0,180,1.0,Rural,0.4655151515151515,N
1154,48,Female,Single,Not Graduate,Self-Employed,5933,5956,221.0,360,1.0,Semiurban,0.5379638009049774,Y
1155,22,Female,Married,Not Graduate,Salaried,11862,5736,365.0,120,1.0,Semiurban,0.48213698630136986,Y
1156,62,Female,Married,Not Graduate,Self-Employed,10138,1529,480.0,120,1.0,Semiurban,0.2430625,N
1157,26,Male,Married,Graduate,Salaried,4158,2965,89.0,360,1.0,Rural,0.8003370786516854,Y
1158,48,Male,,Graduate,Salaried,13054,2367,56.0,120,1.0,Urban,2.75375,Y
1159,48,Female,Single,Graduate,Self-Employed,12410,6696,223.0,360,1.0,Urban,0.8567713004484305,Y
1160,64,Female,Single,Graduate,Self-Employed,4983,3286,200.0,120,,Urban,0.41345,Y
1161,64,Female,Married,Graduate,Salaried,4444,5190,260.0,240,1.0,Rural,0.37053846153846154,N
1162,40,Female,Married,Graduate,Self-Employed,14068,4663,351.0,120,,Rural,0.5336467236467236,N
1163,50,,Married,Not Graduate,Salaried,8710,7062,135.0,300,0.0,Semiurban,1.1682962962962964,N
1164,31,Female,Married,Graduate,Salaried,9153,4331,446.0,360,0.0,Rural,0.30233183856502244,N
1165,48,Male,Married,Graduate,Salaried,10287,1304,302.0,120,,Semiurban,0.38380794701986753,N
1166,45,Male,Married,Not Graduate,Self-Employed,3486,3034,70.0,360,0.0,Semiurban,0.9314285714285714,Y
1167,59,,Married,Graduate,Salaried,12442,3688,306.0,300,1.0,Urban,0.527124183006536,N
1168,53,Female,Married,Not Graduate,Self-Employed,2574,3973,428.0,120,1.0,Rural,0.15296728971962617,N
1169,21,Female,Married,Not Graduate,Salaried,13661,1185,452.0,120,,Urban,0.3284513274336283,Y
1170,47,Male,Single,Graduate,Self-Employed,5805,3262,430.0,300,0.0,Urban,0.21086046511627907,N
1171,33,Female,Married,Not Graduate,Self-Employed,13913,5128,,300,,Rural,0.38622718052738336,Y
1172,61,Female,Single,Graduate,Salaried,14279,2107,82.0,300,1.0,Rural,1.9982926829268293,Y
1173,23,,Single,Graduate,Self-Employed,13272,7036,309.0,360,1.0,Semiurban,0.6572168284789645,Y
1174,59,Female,Married,Not Graduate,Salaried,4507,1840,283.0,300,1.0,Semiurban,0.2242756183745583,Y
1175,26,Male,Married,Not Graduate,Salaried,2469,4320,52.0,360,1.0,Semiurban,1.305576923076923,Y
1176,28,Female,Single,Graduate,Salaried,10272,5938,396.0,240,1.0,Semiurban,0.40934343434343434,Y
1177,47,,Single,Not Graduate,Salaried,4324,2747,357.0,120,1.0,Urban,0.19806722689075631,N
1178,29,Female,Married,Not Graduate,Salaried,13693,4677,276.0,120,1.0,Urban,0.6655797101449276,Y
1179,57,Female,Single,Graduate,Self-Employed,2711,7972,333.0,180,1.0,Rural,0.3208108108108108,Y
1180,53,Male,Married,Graduate,Salaried,1729,7454,119.0,240,1.0,Semiurban,0.7716806722689076,Y
1181,62,Male,Married,Not Graduate,Self-Employed,5784,7137,488.0,300,1.0,Semiurban,0.26477459016393445,N
1182,64,Female,Married,Graduate,Self-Employed,4685,4264,362.0,300,0.0,Semiurban,0.24720994475138122,N
1183,44,Male,Single,Graduate,Salaried,2001,3133,413.0,240,,Urban,0.12430992736077481,Y
1184,35,Male,Single,Graduate,Self-Employed,11824,3420,,300,1.0,Rural,0.5031023102310231,N
1185,52,Male,Married,Graduate,Salaried,1548,1465,193.0,180,1.0,Urban,0.1561139896373057,Y
1186,52,Male,Single,Graduate,Self-Employed,5066,4109,73.0,360,1.0,Rural,1.2568493150684932,Y
1187,44,Female,,Graduate,Self-Employed,4555,2211,,120,1.0,Rural,0.14274261603375527,Y
1188,61,Female,Single,Graduate,Self-Employed,10380,5539,283.0,240,1.0,Urban,0.5625088339222615,Y
1189,32,Male,Single,Not Graduate,Salaried,1886,2804,382.0,120,1.0,Urban,0.12277486910994764,Y
1190,59,Male,Single,Graduate,Self-Employed,2469,5966,224.0,360,1.0,Rural,0.3765625,Y
1191,22,,Single,Not Graduate,Salaried,13152,1543,381.0,240,1.0,Urban,0.38569553805774276,N
1192,23,Male,Single,Not Graduate,Self-Employed,10697,1689,,360,1.0,Urban,0.3311764705882353,Y
1193,57,Female,Married,Not Graduate,Self-Employed,7320,1571,406.0,300,1.0,Rural,0.21899014778325124,Y
1194,37,Female,Single,Graduate,Self-Employed,4552,7727,208.0,300,1.0,Rural,0.5903365384615384,Y
1195,22,Male,Single,Graduate,Self-Employed,13109,7764,397.0,300,1.0,Semiurban,0.5257682619647355,Y
1196,22,Male,,Not Graduate,Salaried,8897,5147,397.0,360,1.0,Urban,0.35375314861460955,N
1197,48,Male,Single,Graduate,Salaried,3802,5827,335.0,360,1.0,Rural,0.2874328358208955,Y
1198,43,Female,Single,Not Graduate,Self-Employed,3783,4541,67.0,360,0.0,Urban,1.2423880597014925,N
1199,57,Male,Single,Graduate,Self-Employed,11299,3279,93.0,120,1.0,Urban,1.5675268817204302,Y
1200,52,Female,Single,Graduate,Salaried,5866,3541,204.0,360,1.0,Rural,0.46112745098039215,N
1201,53,Male,Single,Not Graduate,Salaried,1622,4811,404.0,300,1.0,Semiurban,0.15923267326732674,N
1202,21,Female,Married,Not Graduate,Salaried,8299,3023,459.0,180,1.0,Rural,0.24666666666666667,Y
1203,39,Male,Single,Not Graduate,Salaried,10972,818,426.0,360,1.0,Rural,0.2767605633802817,N
1204,22,Female,Single,Graduate,Self-Employed,5227,6247,280.0,180,1.0,Urban,0.4097857142857143,N
1205,64,Male,,Not Graduate,Self-Employed,9950,6885,420.0,300,1.0,Semiurban,0.4008333333333333,Y
1206,46,Male,Single,Graduate,Salaried,10639,4521,365.0,360,1.0,Rural,0.41534246575342465,N
1207,52,Male,Married,Graduate,Salaried,6458,1124,451.0,120,1.0,Urban,0.16811529933481154,N
1208,26,Female,Married,Graduate,Salaried,2024,5660,274.0,120,1.0,Rural,0.28043795620437956,N
1209,52,Male,Married,Not Graduate,Salaried,10579,6782,266.0,180,1.0,Urban,0.6526691729323308,N
1210,24,Female,Married,Not Graduate,Salaried,9899,4945,105.0,120,0.0,Rural,1.4137142857142857,N
1211,31,Female,Married,Not Graduate,Salaried,13074,5641,80.0,120,1.0,Semiurban,2.339375,Y
1212,37,Male,Married,Graduate,Self-Employed,12486,1129,406.0,120,1.0,Rural,0.3353448275862069,Y
1213,58,Male,Married,Graduate,Self-Employed,1648,1702,108.0,300,1.0,Urban,0.3101851851851852,N
1214,44,Male,Married,Not Graduate,Self-Employed,9501,2001,429.0,120,1.0,Rural,0.26811188811188813,N
1215,25,Female,Married,Graduate,Salaried,1937,6912,435.0,240,0.0,Semiurban,0.20342528735632184,N
1216,54,Male,Married,Graduate,Salaried,11894,3878,402.0,360,1.0,Semiurban,0.39233830845771145,N
1217,26,Female,Married,Not Graduate,Salaried,5249,4372,472.0,120,,Semiurban,0.20383474576271188,Y
1218,42,Female,Married,Not Graduate,Self-Employed,12853,7232,494.0,120,1.0,Semiurban,0.40657894736842104,N
1219,31,Male,Married,Not Graduate,Salaried,13593,1806,284.0,120,1.0,Urban,0.542218309859155,Y
1220,36,Male,Married,Graduate,Salaried,9686,2947,156.0,240,1.0,Rural,0.8098076923076923,Y
1221,53,,Married,Graduate,Self-Employed,5953,6331,240.0,120,1.0,Semiurban,0.5118333333333334,N
1222,29,Male,Married,Graduate,Salaried,12937,7484,67.0,120,1.0,Rural,3.0479104477611942,Y
1223,26,Male,Single,Graduate,Self-Employed,6836,6035,450.0,360,0.0,Urban,0.28602222222222223,N
1224,36,Male,Married,Graduate,Self-Employed,6051,3209,275.0,240,,Rural,0.3367272727272727,Y
1225,49,Female,Single,Not Graduate,Salaried,4323,7510,216.0,240,,Rural,0.5478240740740741,N
1226,23,Female,Married,Graduate,Self-Employed,7228,2152,120.0,120,1.0,Semiurban,0.7816666666666666,Y
1227,40,Female,Married,Graduate,Salaried,14416,4641,411.0,240,0.0,Semiurban,0.46367396593673965,N
1228,56,Male,Single,Graduate,Self-Employed,12962,6523,103.0,180,1.0,Urban,1.891747572815534,Y
1229,39,Female,Married,Not Graduate,Salaried,10177,4205,294.0,240,1.0,Rural,0.48918367346938774,Y
1230,46,Female,Single,Not Graduate,Self-Employed,9891,544,399.0,240,1.0,Urban,0.26152882205513783,Y
1231,23,Female,Single,Not Graduate,Salaried,14158,2401,125.0,240,1.0,Urban,1.32472,Y
1232,39,Female,Single,Graduate,Self-Employed,14801,4838,84.0,300,1.0,Urban,2.3379761904761907,Y
1233,40,Female,,Not Graduate,Self-Employed,3482,2364,316.0,300,0.0,Semiurban,0.185,N
1234,52,Male,Married,Not Graduate,Self-Employed,8496,1289,,300,0.0,Semiurban,0.2673497267759563,N
1235,27,Male,,Not Graduate,Salaried,11163,3765,349.0,240,1.0,Rural,0.42773638968481376,N
1236,61,Female,Single,Graduate,Salaried,14035,1875,170.0,180,1.0,Rural,0.9358823529411765,N
1237,53,Female,Single,Not Graduate,Self-Employed,14575,5184,373.0,240,1.0,Rural,0.5297319034852547,Y
1238,60,Female,Married,Graduate,Salaried,3811,4428,74.0,120,0.0,Semiurban,1.1133783783783784,N
1239,59,Male,Married,Graduate,Self-Employed,8725,5632,481.0,180,0.0,Semiurban,0.2984823284823285,N
1240,38,Male,Married,Not Graduate,Salaried,13065,5252,209.0,300,1.0,Urban,0.8764114832535885,N
1241,60,Female,Married,Graduate,Self-Employed,11770,4687,133.0,360,0.0,Semiurban,1.2373684210526317,N
1242,21,Male,Married,Not Graduate,Salaried,11213,782,163.0,180,0.0,Urban,0.7358895705521472,N
1243,31,Male,Single,Graduate,Self-Employed,2104,7920,272.0,300,0.0,Urban,0.3685294117647059,N
1244,48,Female,,Not Graduate,Self-Employed,9675,539,437.0,180,0.0,Semiurban,0.23372997711670482,N
1245,45,Male,Single,Not Graduate,Self-Employed,13540,2782,215.0,180,1.0,Urban,0.7591627906976744,Y
1246,43,Male,Married,Not Graduate,Self-Employed,13034,5654,240.0,240,0.0,Urban,0.7786666666666666,N
1247,51,,Single,Graduate,Salaried,7285,5615,224.0,120,1.0,Rural,0.5758928571428571,Y
1248,50,Male,Single,Not Graduate,Self-Employed,11109,2668,50.0,360,1.0,Urban,2.7554,Y
1249,62,Male,Single,Graduate,Salaried,6097,4714,436.0,300,1.0,Semiurban,0.2479587155963303,N
1250,55,Female,Single,Not Graduate,Salaried,9259,7824,278.0,180,1.0,Semiurban,0.6144964028776978,N
1251,27,Male,Single,Graduate,Self-Employed,13567,7536,135.0,360,0.0,Urban,1.5631851851851852,N
1252,36,Male,Married,Graduate,Salaried,9032,3937,111.0,180,1.0,Rural,1.1683783783783783,Y
1253,46,,Single,Not Graduate,Salaried,12625,2956,369.0,120,1.0,Semiurban,0.42224932249322494,Y
